name,year,simple_average,simple_average,expedited_average,expedited_median,complex_average,complex_median
Administrative Conference of the United States,2013,1.2,1,NA,NA,NA,NA
United States Postal Service,2012,15.06,7,1,1,44.06,23.5
Special Inspector General for Iraq Reconstruction,2009,15,14,NA,NA,NA,NA
Region 6,2013,245.79,220,52,28,695,53.03
Richland Operations Office,2008,15,18,NA,NA,NA,NA
Office of Management and Budget,2009,23,18,NA,NA,NA,NA
Office of the Solicitor General,2012,14.3,7,470,470,13,125.56
Food and Drug Administration,2013,27.6,9,173.7,22,168.8,78
Federal Labor Relations Authority,2008,28,9,NA,NA,NA,NA
United States Patent and Trademark Office,2010,8,8,NA,NA,NA,NA
Region 4 - Atlanta,2013,15.09,15,3,3,21.44,19
South Eastern Power Administration,2008,5,5,NA,NA,NA,NA
Selective Service System,2009,4,6,NA,NA,NA,NA
Golden Field Office,2011,108,9.08,NA,NA,NA,NA
Office of the Chief Financial Officer,2012,1235.6,1579.5,1871.9,1865,429.1,30
Defense Logistic Agency,2008,15,NA,NA,NA,30,NA
Job Corps,2009,2,2,1,1,NA,NA
Institute of Education Sciences - National Assessment Governing Board,2012,NA,NA,NA,NA,NA,NA
Region 1,2012,13.64,8.5,NA,NA,1,38.8
Office of Dispute Resolution,2010,21.44,23,NA,NA,NA,NA
National Park Service,2012,27,9,NA,NA,103,18
Civil Division,2013,4.07,1.5,164,164,1232,108.38
Office of The Inspector General,2012,8.88,4,NA,NA,22,59.27
Wage and Hour Division,2013,31.8,11,17.1,8,57.3,26
Office of Legal Policy,2008,62,40,NA,80,143,834
Federal Open Market Committee,2012,7.6,7,11,11,85.8,73
Office of Professional Responsibility,2012,32.24,26.5,21,21,191.44,171
Substance Abuse and Mental Health Services Administration,2010,12,5,NA,NA,273,190
Stennis Space Center,2013,3.29,3,NA,NA,9,9
Farm Credit System Insurance Corporation,2011,14.6,14.5,NA,NA,NA,NA
Bonneville Power Administration,2011,27.97,17,NA,NA,1,26.42
United States Secret Service,2011,14.28,14,76,76,250.9,80
Federal Mediation and Conciliation Service,2011,7,6,1.7,2,13.5,11
Defense Finance and Accounting Service,2013,12,10,9,9,1,42
